created_at,timestamp,mmsi,msg_type,latitude,longitude,speed,course,heading,rot,imo,name,call_sign,flag,draught,ship_and_cargo_type,length,width,eta,destination,status,maneuver,accuracy,collection_type,mmsi_label
2020-07-25 18:43:29.906326 UTC,2020-07-25 16:07:22 UTC,372711000,1,-20.44416,57.742933333333333,0.0,45.0,326,-8.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 16:15:40.667950 UTC,2020-07-25 16:13:56.420 UTC,372711000,1,-20.444133333333333,57.74295,0.0,44.0,327,-128.0,,,,PA,,,,,,,15,0,0,dynamic,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:07:51 UTC,372711000,1,-20.44312,57.743173333333331,0.0,56.0,327,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:42:59.423106 UTC,2020-07-25 16:13:53 UTC,372711000,1,-20.444133333333333,57.742933333333333,0.0,44.0,327,7.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:08:22 UTC,372711000,1,-20.443093333333334,57.7432,0.0,61.0,327,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 16:53:39.686719 UTC,2020-07-25 16:46:57.010 UTC,372711000,1,-20.443483333333333,57.74315,0.0,48.0,327,-128.0,,,,PA,,,,,,,15,0,0,dynamic,mmsi-372711000
2020-07-25 17:49:25.485803 UTC,2020-07-25 16:15:45 UTC,372711000,1,-20.444133333333333,57.74296,0.0,44.0,328,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 17:48:49.046345 UTC,2020-07-25 16:19:46 UTC,372711000,1,-20.444106666666666,57.74296,0.0,44.0,328,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:09:01 UTC,372711000,1,-20.44312,57.743173333333331,0.0,61.0,328,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:10:21 UTC,372711000,1,-20.44312,57.7432,0.0,61.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:06:31 UTC,372711000,1,-20.443146666666667,57.743146666666668,0.0,338.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:12 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:51 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:32 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 19:14:40.426918 UTC,2020-07-25 17:06:24 UTC,372711000,1,-20.443146666666667,57.743146666666668,0.0,338.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:34.296605 UTC,2020-07-25 17:10:51 UTC,372711000,1,-20.44312,57.7432,0.0,61.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:04:32 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 16:19:39.919246 UTC,2020-07-25 16:16:23.740 UTC,372711000,1,-20.444133333333333,57.74295,0.0,44.0,329,-128.0,,,,PA,,,,,,,15,0,0,dynamic,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:06:51 UTC,372711000,1,-20.44312,57.74312,0.0,338.0,329,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:42 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:03 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,329,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 17:46:48.079086 UTC,2020-07-25 16:54:49 UTC,372711000,1,-20.443306666666668,57.74312,0.0,328.0,329,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:04:03 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,330,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:02:11 UTC,372711000,1,-20.4432,57.743146666666668,0.0,39.0,330,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:10:31 UTC,372711000,1,-20.44312,57.7432,0.0,61.0,330,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:00:52 UTC,372711000,1,-20.443226666666668,57.743146666666668,0.0,21.0,330,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:09:51 UTC,372711000,1,-20.44312,57.743146666666668,0.0,61.0,330,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:05:23 UTC,372711000,1,-20.443173333333334,57.743146666666668,0.0,338.0,330,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:10:01 UTC,372711000,1,-20.44312,57.743173333333331,0.0,61.0,330,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 17:06:56.918422 UTC,2020-07-25 16:55:42 UTC,372711000,1,-20.443306666666668,57.743093333333334,0.0,323.0,330,7.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-26 04:33:19.857169 UTC,2020-07-25 17:10:25 UTC,372711000,1,-20.4431,57.7432,0.0,61.0,330,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 17:06:46.619933 UTC,2020-07-25 16:56:22 UTC,372711000,1,-20.443306666666668,57.743146666666668,0.0,323.0,331,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-26 01:28:44.323610 UTC,2020-07-25 17:01:12 UTC,372711000,1,-20.443216666666668,57.74315,0.0,21.0,331,7.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-26 01:36:05.375228 UTC,2020-07-25 17:23:09 UTC,372711000,1,-20.44305,57.7432,0.0,61.0,331,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:58:42.322688 UTC,2020-07-25 17:01:00 UTC,372711000,1,-20.443226666666668,57.743146666666668,0.0,21.0,331,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 17:41:39.630560 UTC,2020-07-25 17:34:45.540 UTC,372711000,1,-20.44295,57.743216666666669,0.0,248.0,332,-128.0,,,,PA,,,,,,,15,0,0,dynamic,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:34:15 UTC,372711000,1,-20.442933333333333,57.7432,0.0,248.0,332,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:43:20.261996 UTC,2020-07-25 17:50:12 UTC,372711000,1,-20.44288,57.743226666666665,0.0,52.0,332,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:09:40.156589 UTC,2020-07-25 17:50:15.980 UTC,372711000,1,-20.442866666666667,57.74325,0.0,52.0,332,-128.0,,,,PA,,,,,,,15,0,0,dynamic,mmsi-372711000
2020-07-25 19:16:43.568161 UTC,2020-07-25 17:35:46 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,39.0,332,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:43:20.261996 UTC,2020-07-25 17:47:22 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:36:17 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,34.0,333,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:33:25 UTC,372711000,1,-20.44296,57.743173333333331,0.0,248.0,333,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:43:20.261996 UTC,2020-07-25 17:47:03 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:36:47 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,7.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 19:16:43.568161 UTC,2020-07-25 17:37:45 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 18:43:20.261996 UTC,2020-07-25 17:46:03 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,-5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 19:16:43.568161 UTC,2020-07-25 17:36:36 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,34.0,333,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 19:16:43.568161 UTC,2020-07-25 17:37:07 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,7.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:37:16 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,5.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
2020-07-25 20:25:22.895907 UTC,2020-07-25 17:37:25 UTC,372711000,1,-20.442906666666666,57.743226666666665,0.0,52.0,333,0.0,,,,PA,,,,,,,0,0,0,satellite,mmsi-372711000
